mm,residential,office,commercial,other
?????,0,19320,71760,920
????,115200,172800,288000,144000
??????,53440,18370,95190,0
??CBD????,144300,288600,48100,0
??SOHO,273600,115200,259200,72000
??????,45100,49500,15400,0
????,188550,129890,33520,67040
??????,539280,179760,85600,51360
???SOHO,116250,106950,241800,0
??????,18200,179400,26000,36400
??????,29820,110760,21300,51120
????????,181500,247500,121000,0
SOHO???,350400,86400,19200,24000
????????,0,83600,112200,24200
????,250000,250000,230000,270000
????,59500,150500,38500,101500
????,30450,71400,3150,0
????,103880,31800,65720,10600
?????,72000,0,232000,96000
??????,70000,36000,60000,34000
???,0,54560,86240,35200
???,57270,9130,8300,8300
?????,0,82000,46000,72000
????,61710,41140,54230,29920
????,152000,368000,120000,160000
?????,155570,46340,33100,95990
???,576000,64000,128000,32000
?????,27740,37960,40880,39420
??MOMA,134200,85800,0,0
??????,0,92800,35200,48000
?????,624000,976000,0,0
????,96000,104000,0,0
???,81600,0,38400,0
?????,99280,23120,13600,0
??????????,96000,18000,180000,306000
???????,39480,47940,138180,95880
????????,0,14400,91200,14400
